id,Latitude,Longitude,track_id,time,distance,speed
1,桃園市大園區田心里中正西路12號,桃園市大園區園科路400號,區內(大園國中),8.8,3.6,24.8
2,桃園市大園區田心里中正西路12號,桃園市桃園區縣府路7號,區外(桃園區公所),22.9,16.1,42.3
3,桃園市大園區田心里中正西路12號,桃園市桃園區莒光街2號,區外(桃園國中),22.5,16.2,43.3
4,桃園市大園區田心里中正西路12號,桃園市桃園區民權路32號,區外(桃園圖書館),25.1,16.6,39.7
5,桃園市大園區田心里中正西路12號,桃園市桃園區中山路1492號,區外(桃園醫院),23.1,16.0,41.7
6,桃園市大園區田心里中正西路12號,桃園市桃園區經國路168號,區外(敏盛醫院),21.4,16.4,46.0
7,桃園市大園區田心里中正西路12號,桃園市桃園區中山路889號,區外(武陵高中),19.4,14.7,45.3
8,桃園市大園區田心里中正西路12號,桃園市桃園區公園路42號,區外(孔廟),29.6,19.1,38.7
9,桃園市大園區田心里中正西路12號,桃園市龜山區中山街26號,區外(龜山區公所),32.0,24.6,46.0
10,桃園市大園區田心里中正西路12號,桃園市龜山區興邦路29號,區外(龜山工業區),27.1,22.9,50.7
11,桃園市大園區田心里中正西路12號,桃園市龜山區樹人路56號,區外(警察大學),26.2,22.8,52.3
12,桃園市大園區田心里中正西路12號,桃園市龜山區文化一路259號,區外(長庚大學),31.9,26.4,49.7
13,桃園市大園區田心里中正西路12號,桃園市中壢區中大路300號,區外(中央大學),21.7,12.3,34.1
14,桃園市大園區田心里中正西路12號,桃園市中壢區環北路380號,區外(中壢區公所),22.8,12.4,32.7
15,桃園市大園區田心里中正西路12號,桃園市中壢區延平路622號,區外(中壢國小),27.3,19.6,43.2
16,桃園市大園區田心里中正西路12號,桃園市中壢區中園路447號,區外(啟英高中),17.8,16.3,54.8
17,桃園市大園區田心里中正西路12號,桃園市蘆竹區南崁路150號,區外(蘆竹區公所),19.8,14.6,44.2
18,桃園市大園區田心里中正西路12號,桃園市蘆竹區開南路1號,區外(開南大學),21.8,16.8,46.3
19,桃園市大園區田心里中正西路12號,桃園市蘆竹區南崁路一段112號,區外(台茂購物中心),21.1,12.3,34.9
20,桃園市大園區田心里中正西路12號,桃園市蘆竹區洛陽街36號,區外(南榮公園),19.1,14.6,45.9
21,桃園市大園區田心里中正西路12號,桃園市平鎮區振興路5號,區外(平鎮區公所),27.4,23.2,50.8
22,桃園市大園區田心里中正西路12號,桃園市平鎮區環南路三段88號,區外(平鎮圖書館),28.3,23.5,49.8
23,桃園市大園區田心里中正西路12號,桃園市平鎮區福龍路一段100號,區外(台北商業大學),26.4,29.0,65.9
24,桃園市大園區田心里中正西路12號,桃園市龍潭區中興路690號,區外(龍潭區公所),31.9,36.7,68.9
